Instrument:,LPC,Measurement End Time:,"06/10/2024, 07:06:59",LASP Optical Particle Counter on Strateole 2 Super Pressure Balloons
GPS Position at start of Measurement ,Latitude: ,-273.15,Longitude: ,-273.15,Altitude [m]:,-273.15
Time,Pump1_I,Pump2_I,PHA_I,PHA_12V,PHA_3V3,Input_V,Flow,CPU_V,Pump1_PWM,Pump2_PWM,Pump1_T,Pump2_T,Laser_T,PCB_T,Inlet_T,275,300,325,350,375,400,450,500,550,600,650,700,750,800,900,1000,1200,1400,1600,1800,2000,2500,3000,3500,4000,6000,8000,10000,13000,16000,24000,24000
[Unix Time],[mA],[mA],[mA],[V],[V],[V],[SLPM],[V],[#],[#],[C],[C],[C],[C],[C],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm]
1718003219.0,0.0,1172.0,952.0,0.0,0.481,11.764,3.25,3.299,15182.0,38547.0,-273.15,-273.15,-273.15,-273.15,-273.15,32145.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,388.0,336.0,0.0,0.481,11.755,3.25,3.297,15318.0,27369.0,-273.15,-273.15,-273.15,-273.15,-273.15,32134.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,351.0,322.0,0.0,0.481,11.759,3.25,3.299,15324.0,27109.0,-273.15,-273.15,-273.15,-273.15,-273.15,32130.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,373.0,307.0,0.0,0.482,11.755,3.246,3.299,15313.0,26634.0,-273.15,-273.15,-273.15,-273.15,-273.15,32134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,373.0,307.0,0.0,0.482,11.755,3.25,3.299,15329.0,26821.0,-273.15,-273.15,-273.15,-273.15,-273.15,32133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,388.0,322.0,0.0,0.482,11.75,3.247,3.302,15334.0,26565.0,-273.15,-273.15,-273.15,-273.15,-273.15,32131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,380.0,322.0,0.0,0.481,11.75,3.249,3.299,15318.0,26658.0,-273.15,-273.15,-273.15,-273.15,-273.15,32132.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,388.0,307.0,0.0,0.482,11.75,3.249,3.299,15334.0,26926.0,-273.15,-273.15,-273.15,-273.15,-273.15,32130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,388.0,322.0,0.0,0.481,11.75,3.249,3.299,15334.0,26735.0,-273.15,-273.15,-273.15,-273.15,-273.15,32127.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,380.0,322.0,0.0,0.481,11.75,3.252,3.299,15318.0,26873.0,-273.15,-273.15,-273.15,-273.15,-273.15,32134.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,395.0,322.0,0.0,0.481,11.75,3.25,3.3,15324.0,26642.0,-273.15,-273.15,-273.15,-273.15,-273.15,32135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,380.0,315.0,0.0,0.481,11.75,3.247,3.295,15313.0,26857.0,-273.15,-273.15,-273.15,-273.15,-273.15,32131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,388.0,329.0,0.0,0.481,11.75,3.247,3.299,15324.0,26804.0,-273.15,-273.15,-273.15,-273.15,-273.15,32132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,395.0,315.0,0.0,0.481,11.75,3.25,3.297,15324.0,26634.0,-273.15,-273.15,-273.15,-273.15,-273.15,32130.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,388.0,322.0,0.0,0.482,11.75,3.247,3.299,15329.0,26711.0,-273.15,-273.15,-273.15,-273.15,-273.15,32133.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,395.0,322.0,0.0,0.481,11.75,3.249,3.299,15313.0,26760.0,-273.15,-273.15,-273.15,-273.15,-273.15,32134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,380.0,315.0,0.0,0.481,11.745,3.249,3.297,15324.0,26959.0,-273.15,-273.15,-273.15,-273.15,-273.15,32129.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,388.0,315.0,0.0,0.481,11.74,3.25,3.299,15329.0,26987.0,-273.15,-273.15,-273.15,-273.15,-273.15,32130.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,388.0,315.0,0.0,0.481,11.745,3.249,3.297,15318.0,26537.0,-273.15,-273.15,-273.15,-273.15,-273.15,32134.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,1.0,388.0,322.0,0.0,0.481,11.75,3.249,3.3,15329.0,26666.0,-273.15,-273.15,-273.15,-273.15,-273.15,32130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,380.0,322.0,0.0,0.481,11.745,3.247,3.299,15324.0,26760.0,-273.15,-273.15,-273.15,-273.15,-273.15,32130.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,388.0,344.0,0.0,0.481,11.75,3.249,3.295,15313.0,26821.0,-273.15,-273.15,-273.15,-273.15,-273.15,32135.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,388.0,322.0,0.0,0.481,11.75,3.247,3.299,15318.0,26642.0,-273.15,-273.15,-273.15,-273.15,-273.15,32129.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,380.0,322.0,0.0,0.48,11.74,3.249,3.3,15329.0,26752.0,-273.15,-273.15,-273.15,-273.15,-273.15,32129.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,373.0,329.0,0.0,0.481,11.745,3.249,3.299,15329.0,26873.0,-273.15,-273.15,-273.15,-273.15,-273.15,32128.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,366.0,322.0,0.0,0.481,11.745,3.25,3.3,15318.0,27056.0,-273.15,-273.15,-273.15,-273.15,-273.15,32133.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,380.0,336.0,0.0,0.481,11.745,3.25,3.297,15318.0,26918.0,-273.15,-273.15,-273.15,-273.15,-273.15,32132.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,395.0,329.0,0.0,0.481,11.74,3.249,3.302,15313.0,26804.0,-273.15,-273.15,-273.15,-273.15,-273.15,32127.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718003219.0,0.0,366.0,344.0,0.0,0.481,11.75,3.252,3.3,15313.0,27081.0,-273.15,-273.15,-273.15,-273.15,-273.15,32133.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

